building number, building name, building address,Melbourne City Campus
208,Building 208 (Bundoora Child Care Centre),Janefield Dr & Plenty Rd Bundoora,Bundoora Campus
209,Building 209 (Psychology Clinic),Janefield Dr & Plenty Rd Bundoora,Bundoora Campus
210,Building 210 (Geoffrey P Hayes Building),Janefield Dr & Plenty Rd Bundoora,Bundoora Campus
211,Building 211 (Magee Annexe),Janefield Dr & Plenty Rd Bundoora,Bundoora Campus
213,Building 213 (Chiropractic Clinic),Janefield Dr & Plenty Rd Bundoora,Bundoora Campus
214,Building 214,Janefield Dr & Plenty Rd Bundoora,Bundoora Campus
215,Building 215 (Ross Building),Janefield Dr & Plenty Rd Bundoora,Bundoora Campus
217,Building 217 (EPIC Centre),Janefield Dr and Plenty Rd Bundoora,Bundoora Campus
218,Building 218 (Caretakers Cottage),Janefield Dr and Plenty Rd Bundoora,Bundoora Campus
220,Building 220 (Leo Foster Building),Janefield Dr & Plenty Rd Bundoora,Bundoora Campus
222,Building 222 (Multi Level Car Park),Janefield Dr and Plenty Rd Bundoora,Bundoora Campus
223,Building 223,Janefield Dr & Plenty Rd Bundoora,Bundoora Campus
224,Building 224 (Lecture Theatre),Janefield Dr & Plenty Rd Bundoora,Bundoora Campus
230,Building 230 (Gardeners Compound),Janefield Dr & Plenty Rd Bundoora,Bundoora Campus
239,Building 239 (Garage),Janefield Dr and Plenty Rd Bundoora,Bundoora Campus
251,Building 251,264 Plenty Rd Mill Park,Bundoora Campus
252,Building 252,264 Plenty Rd Mill Park,Bundoora Campus
253,Building 253,264 Plenty Rd Mill Park,Bundoora Campus
254,Building 254,264 Plenty Rd Mill Park,Bundoora Campus
255,Building 255,264 Plenty Rd Mill Park,Bundoora Campus
256,Building 256 (Bundoora East Gate House),264 Plenty Rd Mill Park,Bundoora Campus
257,Building 257 (Wind Tunnel),Janefield Dr & Plenty Rd Bundoora,Bundoora Campus
258,Building 258 (Renewable Energy Building),Janefield Dr & Plenty Rd Bundoora,Bundoora Campus
300,Building 300,30 Janefield Dr Bundoora,Bundoora Campus
511,Building 511,25 Dawson Street Brunswick
512,Building 512,25 Dawson Street Brunswick
513,Building 513,25 Dawson Street Brunswick
514,Building 514,25 Dawson Street Brunswick
514,Building 514,25 Dawson Street Brunswick
